feature,importance
growth_pct_change,0.08487018
consecutive_declining_visits,0.081412576
afi_percent_change,0.050111644
afi_change_cm,0.047881234
growth_percentile_delta,0.037962403
growth_percentile_change,0.031993207
afi_cm_delta,0.031785123
afi_velocity,0.030388193
efw_g,0.023571668
growth_percentile_velocity,0.023252223
growth_percentile,0.021856753
afi_cm_previous,0.021461703
afi_cm,0.021110145
efw_g_delta,0.017452674
growth_percentile_previous,0.017181672
ac_mm_delta,0.017119486
ac_velocity,0.016568037
efw_g_previous,0.01567884
efw_change_g,0.014966729
ac_mm_previous,0.014764673
ac_mm,0.014651474
growth_percentile_rolling_mean,0.013882936
efw_velocity,0.013823854
afi_cm_rolling_mean,0.013716703
efw_percent_change,0.013315826
fl_mm,0.012529439
hc_velocity,0.012342754
ac_mm_rolling_mean,0.011903294
fl_mm_rolling_mean,0.011859526
maternal_weight_kg,0.011817968
efw_g_rolling_mean,0.01180173
gestational_age_days,0.011659147
heart_rate_bpm,0.011519199
medication_active,0.011362886
dvp_cm,0.011291001
fl_mm_previous,0.011247726
bp_systolic,0.011246777
fl_velocity,0.011076796
ultrasound_quality,0.01097614
hc_mm_delta,0.010897918
hc_mm,0.010831097
hc_mm_rolling_mean,0.010669979
hc_mm_previous,0.010543824
platelets,0.010512611
bp_diastolic,0.010189277
measurement_confidence,0.010120176
maternal_age,0.009694817
time_gap_days,0.00936278
fl_mm_delta,0.009122426
gravidity,0.009021556
temperature_c,0.0086762635
hemoglobin_g_dl,0.008529109
maternal_weight_change_kg,0.007678575
parity,0.007449031
medication_count,0.0032861477
afi_acceleration,0.0
efw_acceleration,0.0
completeness_score,0.0
image_available,0.0
